level_samples_per_window,behavior,run_idx,seed,decisions,offered_fragments_per_second,measurement_seconds,actual_queries_per_second,actual_fragments_per_second,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean,raw_decisions_file,raw_decisions_sha256
24,smallpool16,5,22680901,300,11.500000,26.558792,11.295694,11.295694,300,0,164,0,7,1.000000,0.000000,0.546667,0.000000,0.023333,3.4687,3.7637,23.517,0.5445,raw_decisions/main/smallpool16/level_24/run_05_seed_22680901.jsonl,d41859ed4dfd89fbb9bd446467a39fe8f5c874bb6784caef2c8dab697ecf0376
24,smallpool16,6,22680902,300,11.500000,26.072432,11.506407,11.506407,300,0,131,0,7,1.000000,0.000000,0.436667,0.000000,0.023333,3.5007,3.7761,23.577,0.5514,raw_decisions/main/smallpool16/level_24/run_06_seed_22680902.jsonl,1e8c3813cf7c2e687564dc117f48c70d89e0e5df1339e5c0d817e5e6c5a74d40
24,smallpool16,7,22680903,300,11.500000,27.822218,10.782749,10.782749,300,0,113,0,23,1.000000,0.000000,0.376667,0.000000,0.076667,3.3554,3.6165,22.483,0.5449,raw_decisions/main/smallpool16/level_24/run_07_seed_22680903.jsonl,3f54d6fd46164522901f191ab8f7366e017522c0af93bfad6629be6832c12e8b
24,smallpool16,8,22680904,300,11.500000,26.154233,11.470418,11.470418,300,0,133,0,11,1.000000,0.000000,0.443333,0.000000,0.036667,3.3838,3.5933,23.603,0.5161,raw_decisions/main/smallpool16/level_24/run_08_seed_22680904.jsonl,7fb66c3e58b7cd41d4c28f36ba9c97d1516d733b6bb8026360ec2c8c413202c8
24,smallpool16,9,22680905,300,11.500000,26.891299,11.156025,11.156025,300,0,138,0,3,1.000000,0.000000,0.460000,0.000000,0.010000,3.4337,3.7715,23.337,0.5319,raw_decisions/main/smallpool16/level_24/run_09_seed_22680905.jsonl,8122d78d264ab545e9b76e7d4998a15ddc6fa70c910d565f3704d32e8d43f88b
24,smallpool16,10,22680906,300,11.500000,28.105991,10.673881,10.673881,300,0,109,0,15,1.000000,0.000000,0.363333,0.000000,0.050000,3.4312,3.7162,22.077,0.5632,raw_decisions/main/smallpool16/level_24/run_10_seed_22680906.jsonl,93e1b1a8463f5955594804df1806dea103530258b2bd69370dda617ddaab6e6f
24,smallpool16,11,22680907,300,11.500000,24.559413,12.215276,12.215276,300,0,192,0,2,1.000000,0.000000,0.640000,0.000000,0.006667,3.4453,3.7715,25.590,0.5006,raw_decisions/main/smallpool16/level_24/run_11_seed_22680907.jsonl,ec08aef488ba4f8b93abf9dade72cd5dfa6cfe7c6104e9f5fcad3c67380b426e
24,smallpool16,12,22680908,300,11.500000,25.334841,11.841400,11.841400,300,0,182,0,8,1.000000,0.000000,0.606667,0.000000,0.026667,3.4260,3.7454,24.430,0.5191,raw_decisions/main/smallpool16/level_24/run_12_seed_22680908.jsonl,da22c77d2d15c6a95cf1b2d493e79a6023a08348978f6526cc402af5b15111c9
24,smallpool16,13,22680909,300,11.500000,26.503326,11.319334,11.319334,300,0,139,0,22,1.000000,0.000000,0.463333,0.000000,0.073333,3.4589,3.7389,23.617,0.5458,raw_decisions/main/smallpool16/level_24/run_13_seed_22680909.jsonl,f976f07fc4857cce697c5dbe1591681b37e21b290e1b77c53f020e2908f20e96
24,smallpool16,14,22680910,300,11.500000,27.742464,10.813748,10.813748,300,0,124,0,22,1.000000,0.000000,0.413333,0.000000,0.073333,3.4344,3.7533,22.237,0.5587,raw_decisions/main/smallpool16/level_24/run_14_seed_22680910.jsonl,e20240e83ce6da17f9f143a4fc8c0fa04fb4f89bedeeb8121e1b063ffe554bf7
24,smallpool16,15,22680911,300,11.500000,23.433502,12.802184,12.802184,300,0,227,0,1,1.000000,0.000000,0.756667,0.000000,0.003333,3.4896,3.7497,26.750,0.4963,raw_decisions/main/smallpool16/level_24/run_15_seed_22680911.jsonl,2f7ae316501a4f7409e40f9b6d1bee894f8e177b055cb3f52e7236e9e7cb38dc
24,smallpool16,16,22680912,300,11.500000,23.931964,12.535536,12.535536,300,0,205,0,9,1.000000,0.000000,0.683333,0.000000,0.030000,3.5482,3.7894,25.390,0.5277,raw_decisions/main/smallpool16/level_24/run_16_seed_22680912.jsonl,fee6e2f6a52c994f2d6d62b8259bbac9a09ae6d404ae43577768705b9039d485
24,smallpool16,17,22680913,300,11.500000,25.514770,11.757895,11.757895,300,0,172,0,20,1.000000,0.000000,0.573333,0.000000,0.066667,3.4861,3.7851,24.707,0.5286,raw_decisions/main/smallpool16/level_24/run_17_seed_22680913.jsonl,3609a53b7fb012d1c22e7061d15cd19114ffc72ea993d5ffd5019410e3223307
24,smallpool16,18,22680914,300,11.500000,25.821450,11.618248,11.618248,300,0,149,0,4,1.000000,0.000000,0.496667,0.000000,0.013333,3.4335,3.7533,23.833,0.5277,raw_decisions/main/smallpool16/level_24/run_18_seed_22680914.jsonl,91cb4c9d9f551a4c29f03ca9502dddcd0c7fb8b23e074dab644cf479dd23e290
24,smallpool16,19,22680915,300,11.500000,27.534605,10.895381,10.895381,300,0,133,0,17,1.000000,0.000000,0.443333,0.000000,0.056667,3.4274,3.6904,22.477,0.5541,raw_decisions/main/smallpool16/level_24/run_19_seed_22680915.jsonl,082b6beed9f256734ee2326091b508208d0bb8288f27988d4284010490c3c6e1
36,random2048,0,23860918,300,17.500000,14.575012,20.583173,20.583173,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.3154,5.6524,40.653,0.9912,raw_decisions/main/random2048/level_36/run_00_seed_23860918.jsonl,02fe46ff6b3e02e4a81a114a9e8219419b3edd4bdfc988ea86d52af40670ce37
36,random2048,1,23860919,300,17.500000,16.711161,17.952074,17.952074,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1898,5.4919,37.147,0.9945,raw_decisions/main/random2048/level_36/run_01_seed_23860919.jsonl,8d50a97658deeaa9652a93c852bbada05ab355fefe1d4a55c0380a9e24053e1b
36,random2048,2,23860920,300,17.500000,17.350888,17.290182,17.290182,300,287,287,300,300,1.000000,0.956667,0.956667,1.000000,1.000000,5.0684,5.5239,34.967,0.9859,raw_decisions/main/random2048/level_36/run_02_seed_23860920.jsonl,cd9c4f33b364ac76faa050ee5ea3dc4652d38fd0c3924788f9f2991288c260ad
36,random2048,3,23860921,300,17.500000,17.423074,17.218546,17.218546,300,297,297,300,300,1.000000,0.990000,0.990000,1.000000,1.000000,5.1077,5.4263,35.137,0.9933,raw_decisions/main/random2048/level_36/run_03_seed_23860921.jsonl,3048d57fa85fcba84611fb6d0c599362f954336e70ffe6689f4436130e5c356e
36,random2048,4,23860922,300,17.500000,15.105752,19.859984,19.859984,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.3073,5.5439,40.593,0.9872,raw_decisions/main/random2048/level_36/run_04_seed_23860922.jsonl,1532f3d98f5b23cff1f7a501d60695da74b00ee3cb70406b189b23e523db69b0
36,random2048,5,23860923,300,17.500000,17.174283,17.467978,17.467978,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1315,5.4611,35.637,0.9957,raw_decisions/main/random2048/level_36/run_05_seed_23860923.jsonl,7e19d9fcc7310a20294e20b976ebf4dc7b3dcedd0e2f88929ebffccca55290cc
36,random2048,6,23860924,300,17.500000,18.363102,16.337109,16.337109,300,299,299,300,300,1.000000,0.996667,0.996667,1.000000,1.000000,5.0549,5.3219,33.880,0.9908,raw_decisions/main/random2048/level_36/run_06_seed_23860924.jsonl,3eb8ea802b59686cd8672468a346f0818cb151bcf126d831b3de64081e62fe66
36,random2048,7,23860925,300,17.500000,17.982558,16.682832,16.682832,300,260,260,300,300,1.000000,0.866667,0.866667,1.000000,1.000000,5.0104,5.4919,33.487,0.9928,raw_decisions/main/random2048/level_36/run_07_seed_23860925.jsonl,7e3380f75d79402a6d811c3370659e17f50e5fc0b7d60e740a8831c75b32cd64
36,random2048,8,23860926,300,17.500000,17.444957,17.196947,17.196947,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1084,5.3923,35.137,0.9933,raw_decisions/main/random2048/level_36/run_08_seed_23860926.jsonl,736634589cd3031e15fdf66e48845f34e0d8cdffa8734f3d2fb452435099a571
36,random2048,9,23860927,300,17.500000,18.341843,16.356044,16.356044,300,275,275,300,300,1.000000,0.916667,0.916667,1.000000,1.000000,5.0445,5.4263,34.097,0.9912,raw_decisions/main/random2048/level_36/run_09_seed_23860927.jsonl,d7b84033b4c7032282dcac4ff6b1e02a6bdda883a4455669c2b344cf66bbfc76
36,random2048,10,23860928,300,17.500000,17.246386,17.394948,17.394948,300,280,280,300,300,1.000000,0.933333,0.933333,1.000000,1.000000,5.0984,5.6620,35.730,0.9964,raw_decisions/main/random2048/level_36/run_10_seed_23860928.jsonl,d9379bddf09007dd44a359512f6d5af0e3f6bf5af207bda4ca6d0d291c7d8140
36,random2048,11,23860929,300,17.500000,18.135131,16.542478,16.542478,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1162,5.4594,35.387,0.9936,raw_decisions/main/random2048/level_36/run_11_seed_23860929.jsonl,d87ca721036003583a19b5f80737a93c11baeb9afb232267954641fcc8611cc9
36,random2048,12,23860930,300,17.500000,16.176582,18.545327,18.545327,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1937,5.4919,37.587,0.9886,raw_decisions/main/random2048/level_36/run_12_seed_23860930.jsonl,94c5993f94f7fefac62a8dd20689240377c3b7b9c54efd39f7f1778fd77c945c
36,random2048,13,23860931,300,17.500000,17.975574,16.689314,16.689314,300,292,292,300,300,1.000000,0.973333,0.973333,1.000000,1.000000,5.0433,5.3804,33.803,0.9914,raw_decisions/main/random2048/level_36/run_13_seed_23860931.jsonl,7b46aaa6651a92dfe4474db5744ede7c8668530532f62afc577930eeeaf47604
36,random2048,14,23860932,300,17.500000,16.625591,18.044472,18.044472,300,300,300,300,300,1.000000,1.000000,1.000000,1.000000,1.000000,5.1457,5.4474,36.570,0.9815,raw_decisions/main/random2048/level_36/run_14_seed_23860932.jsonl,6997d14c4d02f9402e2527a3a9851621949f660c2e63a1a312ebcd7230182c04
