source_experiment,source_artifact,source_hash,scope,attack_condition,benign_condition,level,variant_or_comparison,metric,estimate,ci95_low,ci95_high,n_independent_units,independent_unit,inference_method,measurement_status,notes
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,60,combined,benign_trigger_rate,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,60,traffic_feature,samples,58.61083333333333,56.76768903042046,60.4539776362462,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,60,traffic_feature,entropy,5.834139669914203,5.786545668172699,5.881733671655707,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,60,traffic_feature,unique_ratio,0.9866149094297174,0.9847698558760398,0.988459962983395,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,120,combined,benign_trigger_rate,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,120,traffic_feature,samples,117.75283333333334,114.18865596947606,121.31701069719063,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,120,traffic_feature,entropy,6.825391450697905,6.782873117498683,6.867909783897128,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,120,traffic_feature,unique_ratio,0.9761914770327673,0.9734851435041321,0.9788978105614026,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,300,combined,benign_trigger_rate,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,300,traffic_feature,samples,297.28100000000006,290.18505561931715,304.37694438068297,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,300,traffic_feature,entropy,8.068453203951966,8.034985857954934,8.101920549948998,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,random2048,300,traffic_feature,unique_ratio,0.9290702267250088,0.9252115724045682,0.9329288810454495,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,5,combined,benign_trigger_rate,0.0,0.0,0.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,5,traffic_feature,samples,4.934666666666667,4.839276663919523,5.030056669413811,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,5,traffic_feature,entropy,2.175320629271973,2.1471677900414408,2.203473468502505,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,5,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,12,combined,benign_trigger_rate,0.0011666666666666668,0.0,0.0031666666666666666,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,12,traffic_feature,samples,11.954166666666667,11.674333664345847,12.233999668987488,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,12,traffic_feature,entropy,3.5196440898466563,3.485394088933171,3.5538940907601417,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,12,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,18,combined,benign_trigger_rate,0.10783333333333331,0.07633333333333334,0.14033749999999995,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,18,traffic_feature,samples,18.052666666666667,17.579462103596597,18.525871229736737,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,18,traffic_feature,entropy,4.133294087573189,4.097029977083257,4.169558198063121,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,18,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,24,combined,benign_trigger_rate,0.5006666666666667,0.457325,0.5408333333333334,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,24,traffic_feature,samples,23.706166666666668,23.128304983595633,24.284028349737703,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,24,traffic_feature,entropy,4.535138550392483,4.500156552624356,4.5701205481606095,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,24,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,36,combined,benign_trigger_rate,0.9756666666666668,0.9638333333333333,0.987,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,36,traffic_feature,samples,35.47716666666667,34.6706439510418,36.28368938229154,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,36,traffic_feature,entropy,5.126463746022972,5.092316334887673,5.16061115715827,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,36,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,60,combined,benign_trigger_rate,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,60,traffic_feature,samples,60.233999999999995,58.920312061306355,61.547687938693635,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,60,traffic_feature,entropy,5.901369938885383,5.868828686712373,5.933911191058392,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,60,traffic_feature,unique_ratio,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,120,combined,benign_trigger_rate,1.0,1.0,1.0,20,run,cluster bootstrap over independent runs,measured,Benign-only FPR; not an attack-detection metric.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,120,traffic_feature,samples,122.14366666666668,118.51382948312444,125.77350385020891,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
E1,e1_results.json,d3d5b503a5b059b749c9dec6156a98451a00af838b2d74331d139205b8750dff,primary_benign,,sequential,120,traffic_feature,entropy,6.9258280364676725,6.883014491439603,6.968641581495742,20,run,cluster bootstrap over independent runs,measured,Benign controlled-emulation feature.
