behavior,phase,level,space,configuration,mean,ci_low,ci_high,runs
sequential,main,60,2048,locked,0.32283333333333336,0.25650000000000006,0.38900833333333323,20
sequential,main,60,65536,initial,1.0,1.0,1.0,20
sequential,main,60,65536,locked,0.32283333333333336,0.2564958333333334,0.39,20
sequential,main,120,2048,initial,1.0,1.0,1.0,20
sequential,main,120,2048,locked,1.0,1.0,1.0,20
sequential,main,120,65536,initial,1.0,1.0,1.0,20
sequential,main,120,65536,locked,1.0,1.0,1.0,20
sequential,main,300,2048,initial,1.0,1.0,1.0,20
sequential,main,300,2048,locked,1.0,1.0,1.0,20
sequential,main,300,65536,initial,1.0,1.0,1.0,20
sequential,main,300,65536,locked,1.0,1.0,1.0,20
