behavior,phase,level,run,seed,space,configuration,rate
sequential,main,5,8,20770840,65536,locked,0.0
sequential,main,5,9,20770841,2048,initial,0.0
sequential,main,5,9,20770841,2048,locked,0.0
sequential,main,5,9,20770841,65536,initial,0.0
sequential,main,5,9,20770841,65536,locked,0.0
sequential,main,5,10,20770842,2048,initial,0.0
sequential,main,5,10,20770842,2048,locked,0.0
sequential,main,5,10,20770842,65536,initial,0.0
sequential,main,5,10,20770842,65536,locked,0.0
sequential,main,5,11,20770843,2048,initial,0.0
sequential,main,5,11,20770843,2048,locked,0.0
sequential,main,5,11,20770843,65536,initial,0.0
sequential,main,5,11,20770843,65536,locked,0.0
sequential,main,5,12,20770844,2048,initial,0.0
sequential,main,5,12,20770844,2048,locked,0.0
sequential,main,5,12,20770844,65536,initial,0.0
sequential,main,5,12,20770844,65536,locked,0.0
sequential,main,5,13,20770845,2048,initial,0.0
sequential,main,5,13,20770845,2048,locked,0.0
sequential,main,5,13,20770845,65536,initial,0.0
sequential,main,5,13,20770845,65536,locked,0.0
sequential,main,5,14,20770846,2048,initial,0.0
sequential,main,5,14,20770846,2048,locked,0.0
sequential,main,5,14,20770846,65536,initial,0.0
sequential,main,5,14,20770846,65536,locked,0.0
sequential,main,5,15,20770847,2048,initial,0.0
sequential,main,5,15,20770847,2048,locked,0.0
sequential,main,5,15,20770847,65536,initial,0.0
sequential,main,5,15,20770847,65536,locked,0.0
sequential,main,5,16,20770848,2048,initial,0.0
sequential,main,5,16,20770848,2048,locked,0.0
sequential,main,5,16,20770848,65536,initial,0.0
sequential,main,5,16,20770848,65536,locked,0.0
sequential,main,5,17,20770849,2048,initial,0.0
sequential,main,5,17,20770849,2048,locked,0.0
sequential,main,5,17,20770849,65536,initial,0.0
sequential,main,5,17,20770849,65536,locked,0.0
sequential,main,5,18,20770850,2048,initial,0.0
sequential,main,5,18,20770850,2048,locked,0.0
sequential,main,5,18,20770850,65536,initial,0.0
sequential,main,5,18,20770850,65536,locked,0.0
sequential,main,5,19,20770851,2048,initial,0.0
sequential,main,5,19,20770851,2048,locked,0.0
sequential,main,5,19,20770851,65536,initial,0.0
sequential,main,5,19,20770851,65536,locked,0.0
random2048,main,12,0,21460846,2048,initial,0.0
random2048,main,12,0,21460846,2048,locked,0.0
random2048,main,12,0,21460846,65536,initial,0.0
random2048,main,12,0,21460846,65536,locked,0.0
random2048,main,12,1,21460847,2048,initial,0.0
random2048,main,12,1,21460847,2048,locked,0.0
random2048,main,12,1,21460847,65536,initial,0.0
random2048,main,12,1,21460847,65536,locked,0.0
random2048,main,12,2,21460848,2048,initial,0.01
random2048,main,12,2,21460848,2048,locked,0.0
random2048,main,12,2,21460848,65536,initial,0.01
random2048,main,12,2,21460848,65536,locked,0.0
random2048,main,12,3,21460849,2048,initial,0.0
random2048,main,12,3,21460849,2048,locked,0.0
random2048,main,12,3,21460849,65536,initial,0.0
random2048,main,12,3,21460849,65536,locked,0.0
random2048,main,12,4,21460850,2048,initial,0.0
random2048,main,12,4,21460850,2048,locked,0.0
random2048,main,12,4,21460850,65536,initial,0.0
random2048,main,12,4,21460850,65536,locked,0.0
random2048,main,12,5,21460851,2048,initial,0.0
random2048,main,12,5,21460851,2048,locked,0.0
random2048,main,12,5,21460851,65536,initial,0.0
random2048,main,12,5,21460851,65536,locked,0.0
random2048,main,12,6,21460852,2048,initial,0.0033333333333333335
random2048,main,12,6,21460852,2048,locked,0.0
random2048,main,12,6,21460852,65536,initial,0.0033333333333333335
random2048,main,12,6,21460852,65536,locked,0.0
random2048,main,12,7,21460853,2048,initial,0.0
random2048,main,12,7,21460853,2048,locked,0.0
random2048,main,12,7,21460853,65536,initial,0.0
random2048,main,12,7,21460853,65536,locked,0.0
random2048,main,12,8,21460854,2048,initial,0.0
random2048,main,12,8,21460854,2048,locked,0.0
random2048,main,12,8,21460854,65536,initial,0.0
random2048,main,12,8,21460854,65536,locked,0.0
random2048,main,12,9,21460855,2048,initial,0.0
random2048,main,12,9,21460855,2048,locked,0.0
random2048,main,12,9,21460855,65536,initial,0.0
random2048,main,12,9,21460855,65536,locked,0.0
random2048,main,12,10,21460856,2048,initial,0.0
random2048,main,12,10,21460856,2048,locked,0.0
random2048,main,12,10,21460856,65536,initial,0.0
random2048,main,12,10,21460856,65536,locked,0.0
random2048,main,12,11,21460857,2048,initial,0.0
random2048,main,12,11,21460857,2048,locked,0.0
random2048,main,12,11,21460857,65536,initial,0.0
random2048,main,12,11,21460857,65536,locked,0.0
random2048,main,12,12,21460858,2048,initial,0.0
random2048,main,12,12,21460858,2048,locked,0.0
random2048,main,12,12,21460858,65536,initial,0.0
random2048,main,12,12,21460858,65536,locked,0.0
random2048,main,12,13,21460859,2048,initial,0.0
random2048,main,12,13,21460859,2048,locked,0.0
random2048,main,12,13,21460859,65536,initial,0.0
random2048,main,12,13,21460859,65536,locked,0.0
random2048,main,12,14,21460860,2048,initial,0.0
random2048,main,12,14,21460860,2048,locked,0.0
random2048,main,12,14,21460860,65536,initial,0.0
random2048,main,12,14,21460860,65536,locked,0.0
random2048,main,12,15,21460861,2048,initial,0.0
random2048,main,12,15,21460861,2048,locked,0.0
random2048,main,12,15,21460861,65536,initial,0.0
random2048,main,12,15,21460861,65536,locked,0.0
random2048,main,12,16,21460862,2048,initial,0.0
random2048,main,12,16,21460862,2048,locked,0.0
random2048,main,12,16,21460862,65536,initial,0.0
random2048,main,12,16,21460862,65536,locked,0.0
random2048,main,12,17,21460863,2048,initial,0.0
random2048,main,12,17,21460863,2048,locked,0.0
random2048,main,12,17,21460863,65536,initial,0.0
random2048,main,12,17,21460863,65536,locked,0.0
random2048,main,12,18,21460864,2048,initial,0.0
random2048,main,12,18,21460864,2048,locked,0.0
random2048,main,12,18,21460864,65536,initial,0.0
random2048,main,12,18,21460864,65536,locked,0.0
random2048,main,12,19,21460865,2048,initial,0.0
random2048,main,12,19,21460865,2048,locked,0.0
random2048,main,12,19,21460865,65536,initial,0.0
random2048,main,12,19,21460865,65536,locked,0.0
sequential,main,12,0,21470853,2048,initial,0.0
sequential,main,12,0,21470853,2048,locked,0.0
sequential,main,12,0,21470853,65536,initial,0.0
sequential,main,12,0,21470853,65536,locked,0.0
sequential,main,12,1,21470854,2048,initial,0.0
sequential,main,12,1,21470854,2048,locked,0.0
sequential,main,12,1,21470854,65536,initial,0.0
sequential,main,12,1,21470854,65536,locked,0.0
sequential,main,12,2,21470855,2048,initial,0.0
sequential,main,12,2,21470855,2048,locked,0.0
sequential,main,12,2,21470855,65536,initial,0.0
sequential,main,12,2,21470855,65536,locked,0.0
sequential,main,12,3,21470856,2048,initial,0.0
sequential,main,12,3,21470856,2048,locked,0.0
sequential,main,12,3,21470856,65536,initial,0.0
sequential,main,12,3,21470856,65536,locked,0.0
sequential,main,12,4,21470857,2048,initial,0.0
sequential,main,12,4,21470857,2048,locked,0.0
sequential,main,12,4,21470857,65536,initial,0.0
sequential,main,12,4,21470857,65536,locked,0.0
sequential,main,12,5,21470858,2048,initial,0.0
sequential,main,12,5,21470858,2048,locked,0.0
sequential,main,12,5,21470858,65536,initial,0.0
sequential,main,12,5,21470858,65536,locked,0.0
sequential,main,12,6,21470859,2048,initial,0.0
sequential,main,12,6,21470859,2048,locked,0.0
sequential,main,12,6,21470859,65536,initial,0.0
sequential,main,12,6,21470859,65536,locked,0.0
sequential,main,12,7,21470860,2048,initial,0.0
sequential,main,12,7,21470860,2048,locked,0.0
sequential,main,12,7,21470860,65536,initial,0.0
sequential,main,12,7,21470860,65536,locked,0.0
sequential,main,12,8,21470861,2048,initial,0.006666666666666667
sequential,main,12,8,21470861,2048,locked,0.0
sequential,main,12,8,21470861,65536,initial,0.006666666666666667
sequential,main,12,8,21470861,65536,locked,0.0
sequential,main,12,9,21470862,2048,initial,0.0
sequential,main,12,9,21470862,2048,locked,0.0
sequential,main,12,9,21470862,65536,initial,0.0
sequential,main,12,9,21470862,65536,locked,0.0
sequential,main,12,10,21470863,2048,initial,0.0
sequential,main,12,10,21470863,2048,locked,0.0
sequential,main,12,10,21470863,65536,initial,0.0
sequential,main,12,10,21470863,65536,locked,0.0
sequential,main,12,11,21470864,2048,initial,0.0
sequential,main,12,11,21470864,2048,locked,0.0
sequential,main,12,11,21470864,65536,initial,0.0
sequential,main,12,11,21470864,65536,locked,0.0
sequential,main,12,12,21470865,2048,initial,0.0
sequential,main,12,12,21470865,2048,locked,0.0
sequential,main,12,12,21470865,65536,initial,0.0
sequential,main,12,12,21470865,65536,locked,0.0
sequential,main,12,13,21470866,2048,initial,0.0
sequential,main,12,13,21470866,2048,locked,0.0
sequential,main,12,13,21470866,65536,initial,0.0
sequential,main,12,13,21470866,65536,locked,0.0
sequential,main,12,14,21470867,2048,initial,0.0
sequential,main,12,14,21470867,2048,locked,0.0
sequential,main,12,14,21470867,65536,initial,0.0
sequential,main,12,14,21470867,65536,locked,0.0
sequential,main,12,15,21470868,2048,initial,0.0
sequential,main,12,15,21470868,2048,locked,0.0
sequential,main,12,15,21470868,65536,initial,0.0
sequential,main,12,15,21470868,65536,locked,0.0
sequential,main,12,16,21470869,2048,initial,0.0
sequential,main,12,16,21470869,2048,locked,0.0
sequential,main,12,16,21470869,65536,initial,0.0
sequential,main,12,16,21470869,65536,locked,0.0
sequential,main,12,17,21470870,2048,initial,0.016666666666666666
sequential,main,12,17,21470870,2048,locked,0.0
sequential,main,12,17,21470870,65536,initial,0.016666666666666666
sequential,main,12,17,21470870,65536,locked,0.0
sequential,main,12,18,21470871,2048,initial,0.0
sequential,main,12,18,21470871,2048,locked,0.0
sequential,main,12,18,21470871,65536,initial,0.0
sequential,main,12,18,21470871,65536,locked,0.0
sequential,main,12,19,21470872,2048,initial,0.0
sequential,main,12,19,21470872,2048,locked,0.0
