policy,workload,rep,trial_id,packet_sha256,time_ns,matching_head_seen_at_ingress,samples,orphan_count,orphan_ratio,orphan_majority,orphan_any
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t024-e0336f71,181385dbd984f1258b51af6329ce8dc1c1dec849418093b39276c98ed9255299,1789119587712764203,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t025-27550022,443decafe2aa7180dd56920904f3456132107e31559614625729ef78ca9bf1f9,1789119588057124347,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t026-d6baa192,d4117b6b4f00c648e27e216727a5c1ecbba02c5b6f00cc58e22fa61504589ae3,1789119588396786704,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t027-3322f6ca,4d81ffced13f7e4a6b5ca96d1571a428c773da6070f8b7b46fa2501fd92fc996,1789119588772823340,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t028-15e7cfbb,ca43ca434ee43b71cbcf8c88c4c27458aea04a40c1f95b2d8be0aecb5939bfc0,1789119589096870659,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t029-6be52155,c1c1a4ae1b5fed9a197f529a7a2290b47a227f92b4eac9a87910f235a4f8fa7d,1789119589424780907,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t030-629ee2d4,1acd2c60a3f568d3aab635caf4866a492b6e2fdd54388d0e4f364340a17bc131,1789119589748689640,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t031-affe0174,f2e670e852f5c158d749c165c52565ca5a5c869ba9019766be162c955cc772ec,1789119590089167944,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t032-8f254b1c,2d2fb59942a28ba6d09897703f09d5767666f233b76c6cef32a42d547ee6382b,1789119590428990090,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t033-17afff18,9831a37edb4b068444a7fbd51b4e6e48f8801612a1065a5e4bae69eb48c33745,1789119590764703463,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t034-61ae7d1d,022bfcd8a1d7219092e9574b765d5976001a9f696ad09bf2fb88ab1905884d31,1789119591108730371,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t035-4830f8c7,d3e4dc798ed7e63683e5a41d781fffd900fa6f8d0a376d4061a4cde5ffa02f31,1789119591440752448,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t036-f98a2e89,db67ccfa2c9f23d162885ffc9a71b912dd18f8335069ada29b647bdfc8605984,1789119591800713718,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t037-0ddf82d9,b290490a571a969ad481200c357d7e6e5e345587be8806ba7c88c7d35c115c94,1789119592125048618,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t038-58ff222e,4b0da7bea4fe271f9deff490c331caa697be663fd528303c04dc6ce355a658ab,1789119592457080500,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t000-98316cda,8288dbfa22018cd2ac4b4a1f7fd10db64ddeed2a1a784db816b6776e7669d820,1789119592788893352,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t001-5bc8202c,c75d8cc5b833a1d30f6fa1a9f30022fd91f909e0c1f8eff840221d34af8b25b7,1789119593156654911,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t039-b063f964,32736de1e0be06e3b82f10122313bc994cfe76b1485612e5c9992a4cbff63cbe,1789119593480808877,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t002-f0b186b1,0641e811393a90bf69833f89f40f1c70199b485cf1684f5e5114547f5eabefde,1789119593804689741,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t040-53b4cd48,b9b36c41e5a2d8dcbebfc58ff7def349db17dd326fab70a0b30e05c35b646e47,1789119594144748615,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t003-65089c88,24c78f43deb7addfd0950714d672ce989d501e822fed300f43c23e9b9d2672cb,1789119594468840947,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t041-16776bc7,740df3e79b83931260e4da0c8d2909535e45f44040fb49ef9def79387c985fc4,1789119594832704859,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t004-b1e3ecc9,88e761aaf0302e162ada06843e8fba4a5a10c2418921de1bd18bbaadc76db951,1789119595172794078,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t042-fe14a127,55d14c035955c098176ba29af8e30bac8225551c10ffa0b69acd1ad78c090b19,1789119595484722415,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t005-8cbc9bf3,5a4f3f82374d9d7933e0ba957d05d9886771f4d333559e0a653c840241168579,1789119595832674897,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t043-6f21faa6,3a4fa47f75e82b16d3aefbb7386d63e4c2e34025c8df2c826b39ada97ce79749,1789119596145149345,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t006-edcf94ce,a440e825968b1855dfaa3617b7444f5ac77d11d26ce811112ca43bde1a2226e8,1789119596456847875,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t044-8e9bfe87,16fa57e69cb4a2634335948c8df298ff6bf2e914261eb37229f0cae2676b4ed7,1789119596780657745,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t007-b72e0e58,dc6876658bd3e713d92ce4df7836d09cb06bda53ace4fcba0aec37533032a3b1,1789119597124855228,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t045-2033a362,ca5c1437ce6e3073f32613ff7ad028ad01d330e9c981e13df8ed4bde0afa3d5e,1789119597464710859,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t008-8c5a7969,18110f72d0f9e269420de7a82b2dcadd3c2fece392f0338b9e9596a35abd7820,1789119597780753605,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t046-1347223f,537103779e0e3432f2c802c0b1792a4d510691582d9afad496f6e77cbccd3ac5,1789119598108634966,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t009-4baa4718,05a740f3b5b8191c2523ca72cc232dbd686a9291df59894c586a2c7ab0552e30,1789119598476691088,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t047-d2a77b69,d9194b4c38946c19df5ab74aabcc67564599ceb9858232440ddd57e9a7951af1,1789119598808689883,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t010-fbf4fc21,d3454bcabba8a8f7383bc0f69127ae54b7f260892b0ffd264e5334573ebd662d,1789119599168764104,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t048-fed8655f,ddb58609a8a5e0f9f62f52994360d198f253f216a2d03e8ed2b627002164d50c,1789119599472732661,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t011-2b851927,94adfc92115d224afa5aae5c5b0566c5b4d63a0486954968c2d751b9f853ef1d,1789119599784731259,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t049-68ff1d77,75c2388f39db81b18093df7fb4d3bf6953cc91290dcfcad8cd52682f2d19e5d0,1789119600112961411,True,30,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t012-ed9eeaef,cc1adf127a9995d048073d187f3d1705e2f74a395221954bf313ba3a3396f727,1789119600445021954,True,31,0,0.0,False,False
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t013-c080c96d,d085c379b4cfd8520f3ae5c6b52fb8843011a5f902b3e6395946f239a91ad20d,1789119600784719069,True,31,0,0.0,False,False
