policy,workload,rep,trial_id,query_start_wall_ns,query_end_wall_ns,ratio_at_query,n_at_query,orphan_at_query,peak_ratio_during_query,majority_at_query,any_at_query,majority_during_query,any_during_query,zero_ratio_in_both_capture_orders,query_clock_status
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t026-d6baa192,1789119578301938534,1789119580312312716,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t027-3322f6ca,1789119578311838411,1789119580322959680,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t028-15e7cfbb,1789119578322394229,1789119580347160924,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t029-6be52155,1789119578336819349,1789119580347938426,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t030-629ee2d4,1789119578342016173,1789119580352185086,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t031-affe0174,1789119578352125606,1789119580363907491,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t032-8f254b1c,1789119578361809156,1789119580374856876,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t033-17afff18,1789119578372817270,1789119580384406089,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t034-61ae7d1d,1789119578382139287,1789119580392148695,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t035-4830f8c7,1789119578392266073,1789119580403836778,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t036-f98a2e89,1789119578401775339,1789119580412110336,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t037-0ddf82d9,1789119578411760735,1789119580423336303,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t038-58ff222e,1789119578421659182,1789119580432533615,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t039-b063f964,1789119578431805227,1789119580440914240,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t040-53b4cd48,1789119578442939859,1789119580454341144,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t041-16776bc7,1789119578452560101,1789119580464018304,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t042-fe14a127,1789119578462218290,1789119580472022811,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t043-6f21faa6,1789119578472576086,1789119580483699263,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t044-8e9bfe87,1789119578482145034,1789119580492079791,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t045-2033a362,1789119578491862333,1789119580503453060,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t046-1347223f,1789119578502199442,1789119580512201890,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t047-d2a77b69,1789119578511870405,1789119580523036008,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t048-fed8655f,1789119578521808800,1789119580531971801,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,1,r01-t049-68ff1d77,1789119578531987166,1789119580543113012,0.0,25,0,0.0,False,False,False,False,True,offset_spread_at_most_1ms
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t000-98316cda,1789119610823464066,1789119611197464593,0.0,24,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t001-5bc8202c,1789119611208454031,1789119611556446143,0.0,25,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t002-f0b186b1,1789119611567252750,1789119611895984013,0.0,26,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t003-65089c88,1789119611907159814,1789119612251818099,0.0,27,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t004-b1e3ecc9,1789119612263052902,1789119612607716724,0.0,28,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t005-8cbc9bf3,1789119612618276247,1789119612950827104,0.0,29,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t006-edcf94ce,1789119612962236432,1789119613276635264,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t007-b72e0e58,1789119613869863854,1789119614228646438,0.0,22,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t008-8c5a7969,1789119614240298173,1789119614573789440,0.0,22,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t009-4baa4718,1789119614584904902,1789119614915861452,0.0,22,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t010-fbf4fc21,1789119614929690453,1789119615263017411,0.0,22,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t011-2b851927,1789119615273552015,1789119615603621620,0.0,21,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t012-ed9eeaef,1789119615613851282,1789119615967021954,0.0,26,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t013-c080c96d,1789119615979025698,1789119616299345398,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t014-7392d5cb,1789119616310261408,1789119616651453420,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t015-b532b687,1789119616662187230,1789119617030648782,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t016-9a0f859a,1789119617042653117,1789119617394651895,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t017-d0bc66de,1789119617405594548,1789119617730940571,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t018-e2aa1a0a,1789119617741838437,1789119618050837996,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t019-5f9d0cd5,1789119618066452320,1789119618406925085,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t020-2cf072ec,1789119618417924554,1789119618763493456,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t021-515c133b,1789119618773834410,1789119619110387694,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t022-49c309a9,1789119619121534127,1789119619455119033,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t023-83550efb,1789119619465582026,1789119619799271401,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t024-e0336f71,1789119619809613406,1789119620140658982,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,1,r01-t025-27550022,1789119620152836636,1789119620479399804,0.0,30,0,0.0,False,False,False,False,True,ratio_invariant_despite_offset_uncertainty
